2, "John Manager1", 1, 142359
4, "John Manager2", 2, 121522
6, "John Manager3", 3, 102399
8, "John Manager4", 4, 143261
10, "John Manager5", 5, 124127
12, "John Manager6", 6, 102330
14, "John Manager7", 7, 141143
16, "John Manager8", 8, 122480
18, "John Manager9", 9, 137932
20, "John Manager10", 10, 131706
22, "John Manager11", 11, 112464
24, "John Manager12", 12, 101244
26, "John Manager13", 13, 115251
28, "John Manager14", 14, 127286
30, "John Manager15", 15, 140336
32, "John Manager16", 16, 117859
34, "John Manager17", 17, 139469
36, "John Manager18", 18, 127373
38, "John Manager19", 19, 125318
40, "John Manager20", 20, 117976
42, "John Manager21", 21, 131198
44, "John Manager22", 22, 135961
46, "John Manager23", 23, 104056
48, "John Manager24", 24, 123430
50, "John Manager25", 25, 108590
52, "John Manager26", 26, 112440
54, "John Manager27", 27, 133953
56, "John Manager28", 28, 129963
58, "John Manager29", 29, 122869
60, "John Manager30", 30, 137005
62, "John Manager31", 31, 133597
64, "John Manager32", 32, 112473
66, "John Manager33", 33, 135647
68, "John Manager34", 34, 113535
70, "John Manager35", 35, 120183
72, "John Manager36", 36, 115667
74, "John Manager37", 37, 122370
76, "John Manager38", 38, 116747
78, "John Manager39", 39, 141745
80, "John Manager40", 40, 149027
82, "John Manager41", 41, 114341
84, "John Manager42", 42, 130189
86, "John Manager43", 43, 149160
88, "John Manager44", 44, 108603
90, "John Manager45", 45, 118645
92, "John Manager46", 46, 131383
94, "John Manager47", 47, 109195
96, "John Manager48", 48, 133790
98, "John Manager49", 49, 125299
100, "John Manager50", 50, 137999
102, "John Manager51", 51, 132145
104, "John Manager52", 52, 132113
106, "John Manager53", 53, 140541
108, "John Manager54", 54, 140959
110, "John Manager55", 55, 106594
112, "John Manager56", 56, 130344
114, "John Manager57", 57, 110826
116, "John Manager58", 58, 142607
118, "John Manager59", 59, 127115
120, "John Manager60", 60, 130981
122, "John Manager61", 61, 134017
124, "John Manager62", 62, 112873
126, "John Manager63", 63, 124432
128, "John Manager64", 64, 102699
130, "John Manager65", 65, 102932
132, "John Manager66", 66, 138057
134, "John Manager67", 67, 112779
136, "John Manager68", 68, 108921
138, "John Manager69", 69, 148678
140, "John Manager70", 70, 106596
142, "John Manager71", 71, 102093
144, "John Manager72", 72, 128110
146, "John Manager73", 73, 124796
148, "John Manager74", 74, 128034
150, "John Manager75", 75, 142922
152, "John Manager76", 76, 108055
154, "John Manager77", 77, 113833
156, "John Manager78", 78, 119247
158, "John Manager79", 79, 129448
160, "John Manager80", 80, 134569
162, "John Manager81", 81, 100925
164, "John Manager82", 82, 104427
166, "John Manager83", 83, 142435
168, "John Manager84", 84, 123684
170, "John Manager85", 85, 121791
172, "John Manager86", 86, 113302
174, "John Manager87", 87, 101418
176, "John Manager88", 88, 129917
178, "John Manager89", 89, 100754
180, "John Manager90", 90, 148604
182, "John Manager91", 91, 149337
