1, "Student1", "Biology", 3.96
2, "Student2", "Statistics", 3.38
3, "Student3", "Biology", 3.11
4, "Student4", "Statistics", 3.02
5, "Student5", "Biology", 2.52
6, "Student6", "CS", 3.39
7, "Student7", "Biology", 2.73
8, "Student8", "Statistics", 3.7
9, "Student9", "Biology", 2.98
10, "Student10", "Statistics", 3.05
11, "Student11", "Biology", 3.42
12, "Student12", "CS", 3.12
13, "Student13", "Biology", 3.25
14, "Student14", "Statistics", 2.79
15, "Student15", "Biology", 2.76
16, "Student16", "Statistics", 3.52
17, "Student17", "Biology", 2.73
18, "Student18", "CS", 3.24
19, "Student19", "Biology", 3.25
20, "Student20", "Statistics", 2.73
21, "Student21", "Biology", 3.35
22, "Student22", "Statistics", 3.53
23, "Student23", "Biology", 3.79
24, "Student24", "CS", 4.0
25, "Student25", "Biology", 3.38
26, "Student26", "Statistics", 3.66
27, "Student27", "Biology", 3.98
28, "Student28", "Statistics", 3.3
29, "Student29", "Biology", 3.3
30, "Student30", "Business", 3.37
31, "Student31", "Biology", 3.42
32, "Student32", "Statistics", 2.79
33, "Student33", "Biology", 3.9
34, "Student34", "Statistics", 3.11
35, "Student35", "Biology", 3.59
36, "Student36", "CS", 2.54
37, "Student37", "Biology", 3.36
38, "Student38", "Statistics", 3.65
39, "Student39", "Biology", 3.36
40, "Student40", "Statistics", 3.85
41, "Student41", "Biology", 2.98
42, "Student42", "CS", 2.94
43, "Student43", "Biology", 3.94
44, "Student44", "Statistics", 3.06
45, "Student45", "Biology", 3.67
46, "Student46", "Statistics", 3.4
47, "Student47", "Biology", 2.71
48, "Student48", "CS", 3.49
49, "Student49", "Biology", 2.79
50, "Student50", "Statistics", 3.83
51, "Student51", "Biology", 3.72
52, "Student52", "Statistics", 3.12
53, "Student53", "Biology", 2.52
54, "Student54", "CS", 3.58
55, "Student55", "Biology", 3.36
56, "Student56", "Statistics", 3.32
57, "Student57", "Biology", 2.59
58, "Student58", "Statistics", 3.08
59, "Student59", "Biology", 3.41
60, "Student60", "Business", 2.93
61, "Student61", "Biology", 2.99
62, "Student62", "Statistics", 2.64
63, "Student63", "Biology", 3.1
64, "Student64", "Statistics", 3.53
65, "Student65", "Biology", 3.0
66, "Student66", "CS", 3.4
67, "Student67", "Biology", 3.45
68, "Student68", "Statistics", 3.37
69, "Student69", "Biology", 3.4
70, "Student70", "Statistics", 3.65
71, "Student71", "Biology", 2.96
72, "Student72", "CS", 3.86
73, "Student73", "Biology", 2.82
74, "Student74", "Statistics", 2.99
75, "Student75", "Biology", 3.21
76, "Student76", "Statistics", 2.73
77, "Student77", "Biology", 3.69
78, "Student78", "CS", 2.69
79, "Student79", "Biology", 3.3
80, "Student80", "Statistics", 3.52
81, "Student81", "Biology", 2.5
82, "Student82", "Statistics", 2.73
83, "Student83", "Biology", 3.42
84, "Student84", "CS", 3.72
85, "Student85", "Biology", 2.61
86, "Student86", "Statistics", 3.05
87, "Student87", "Biology", 2.7
88, "Student88", "Statistics", 3.4
89, "Student89", "Biology", 4.0
90, "Student90", "Business", 3.87
91, "Student91", "Biology", 3.62
92, "Student92", "Statistics", 3.36
93, "Student93", "Biology", 3.07
94, "Student94", "Statistics", 3.58
95, "Student95", "Biology", 3.17
96, "Student96", "CS", 3.33
97, "Student97", "Biology", 3.03
98, "Student98", "Statistics", 3.48
99, "Student99", "Biology", 2.87
100, "Student100", "Statistics", 2.7
